Name,Latitude Degree,Longitude Degree,Local Code
Los Angeles International Airport,33.94,118.41,LAX
Chicago O'Hare International Airport,41.98,87.90,ORD
John F Kennedy International Airport,40.64,73.78,JFK
Hartsfield Jackson Atlanta International Airport,33.64,84.43,ATL
San Francisco International Airport,37.62,122.38,SFO
Newark Liberty International Airport,40.69,74.17,EWR
McCarran International Airport,36.08,115.15,LAS
Dallas Fort Worth International Airport,32.9,97.04,DFW
Orlando International Airport,28.43,81.31,MCO
Denver International Airport,39.86,104.67,DEN
Miami International Airport,25.79,80.29,MIA
Washington Dulles International Airport,38.94,77.46,IAD
La Guardia Airport,40.78,73.87,LGA
Seattle Tacoma International Airport,47.45,122.31,SEA
Phoenix Sky Harbor International Airport,33.43,112.01,PHX
General Edward Lawrence Logan International Airport,42.36,71.01,BOS
Philadelphia International Airport,39.87,75.24,PHL
George Bush Intercontinental Houston Airport,29.98,95.34,IAH
Charlotte Douglas International Airport,35.21,80.94,CLT
Ronald Reagan Washington National Airport,38.85,77.04,DCA
Detroit Metropolitan Wayne County Airport,42.21,83.35,DTW
Minneapolis-St Paul International/Wold-Chamberlain Airport,44.88,93.22,MSP
Salt Lake City International Airport,40.79,111.98,SLC
San Diego International Airport,32.73,117.19,SAN
Fort Lauderdale Hollywood International Airport,26.07,80.15,FLL
Chicago Midway International Airport,41.79,87.75,MDW
Baltimore/Washington International Thurgood Marshall Airport,39.18,76.67,BWI
St Louis Lambert International Airport,38.75,90.37,STL
Daniel K Inouye International Airport,21.32,157.92,HNL
Portland International Airport,45.59,122.60,PDX
Tampa International Airport,27.98,82.53,TPA
Cincinnati Northern Kentucky International Airport,39.05,84.67,CVG
Louis Armstrong New Orleans International Airport,29.99,90.26,MSY
Pittsburgh International Airport,40.49,80.23,PIT
Metropolitan Oakland International Airport,37.72,122.22,OAK
Norman Y. Mineta San Jose International Airport,37.36,121.93,SJC
Nashville International Airport,36.12,86.68,BNA
Raleigh Durham International Airport,35.88,78.79,RDU
Austin Bergstrom International Airport,30.19,97.67,AUS
Memphis International Airport,35.04,89.98,MEM
San Antonio International Airport,29.53,98.47,SAT
Kansas City International Airport,39.3,94.71,MCI
John Wayne Airport-Orange County Airport,33.68,117.87,SNA
William P Hobby Airport,29.65,95.28,HOU
Cleveland Hopkins International Airport,41.41,81.85,CLE
Indianapolis International Airport,39.72,86.29,IND
Dallas Love Field,32.85,96.85,DAL
Albuquerque International Sunport Airport,35.04,106.61,ABQ
General Mitchell International Airport,42.95,87.90,MKE
Port Columbus International Airport,40,82.89,CMH
Tucson International Airport,32.12,110.94,TUS
Buffalo Niagara International Airport,42.94,78.73,BUF
Ted Stevens Anchorage International Airport,61.17,150.00,ANC
Bradley International Airport,41.94,72.68,BDL
Jacksonville International Airport,30.49,81.69,JAX
El Paso International Airport,31.81,106.38,ELP
Will Rogers World Airport,35.39,97.60,OKC
Kahului Airport,20.9,156.43,OGG
Reno Tahoe International Airport,39.5,119.77,RNO
Palm Beach International Airport,26.68,80.10,PBI
Sacramento International Airport,38.7,121.59,SMF
Norfolk International Airport,36.89,76.20,ORF
Bob Hope Airport,34.2,118.36,BUR
Long Beach /Daugherty Field/ Airport,33.82,118.15,LGB
Theodore Francis Green State Airport,41.73,71.42,PVD
Eppley Airfield,41.3,95.89,OMA
Wittman Regional Airport,43.98,88.56,OSH
Louisville International Standiford Field,38.17,85.74,SDF
Ontario International Airport,34.06,117.60,ONT
Charleston Air Force Base-International Airport,32.9,80.04,CHS
Syracuse Hancock International Airport,43.11,76.11,SYR
Richmond International Airport,37.51,77.32,RIC
Albany International Airport,42.75,73.80,ALB
Westchester County Airport,41.07,73.71,HPN
Boise Air Terminal/Gowen field,43.56,116.22,BOI
Birmingham-Shuttlesworth International Airport,33.56,86.75,BHM
Savannah Hilton Head International Airport,32.13,81.20,SAV
Spokane International Airport,47.62,117.53,GEG
Manchester Airport,42.93,71.44,MHT
James M Cox Dayton International Airport,39.9,84.22,DAY
Greater Rochester International Airport,43.12,77.67,ROC
Portland International Jetport Airport,43.65,70.31,PWM
Southwest Florida International Airport,26.54,81.76,RSW
Wichita Mid Continent Airport,37.65,97.43,ICT
Dane County Regional Truax Field,43.14,89.34,MSN
Santa Barbara Municipal Airport,34.43,119.84,SBA
Ellison Onizuka Kona International At Keahole Airport,19.74,156.05,KOA
Des Moines International Airport,41.53,93.66,DSM
City of Colorado Springs Municipal Airport,38.81,104.70,COS
Burlington International Airport,44.47,73.15,BTV
Gerald R. Ford International Airport,42.88,85.52,GRR
Tulsa International Airport,36.2,95.89,TUL
Boeing Field King County International Airport,47.53,122.30,BFI
Palm Springs International Airport,33.83,116.51,PSP
Bill & Hillary Clinton National Airport/Adams Field,34.73,92.22,LIT
Monterey Peninsula Airport,36.59,121.84,MRY
Piedmont Triad International Airport,36.1,79.94,GSO
North Las Vegas Airport,36.21,115.19,VGT
Pensacola Regional Airport,30.47,87.19,PNS
Rapid City Regional Airport,44.05,103.06,RAP
Teterboro Airport,40.85,74.06,TEB
Santa Monica Municipal Airport,34.02,118.45,SMO
Van Nuys Airport,34.21,118.49,VNY
Sarasota Bradenton International Airport,27.4,82.55,SRQ
Tallahassee Regional Airport,30.4,84.35,TLH
McGhee Tyson Airport,35.81,83.99,TYS
Fresno Yosemite International Airport,36.78,119.72,FAT
Key West International Airport,24.56,81.76,EYW
Bangor International Airport,44.81,68.83,BGR
Blue Grass Airport,38.04,84.61,LEX
St Petersburg Clearwater International Airport,27.91,82.69,PIE
Greenville Spartanburg International Airport,34.9,82.22,GSP
Bellingham International Airport,48.79,122.54,BLI
Montgomery-Gibbs Executive Airport,32.82,117.14,MYF
Daytona Beach International Airport,29.18,81.06,DAB
Lakefront Airport,30.04,90.03,NEW
Santa Fe Municipal Airport,35.62,106.09,SAF
Lubbock Preston Smith International Airport,33.66,101.82,LBB
Lihue Airport,21.98,159.34,LIH
DeKalb Peachtree Airport,33.88,84.30,PDK
Centennial Airport,39.57,104.85,APA
